YEAR,MONTH,ALLSKY_SFC_SW_DWN,CLOUD_AMT,CLRSKY_KT,PRECTOTCORR,PS,PSC,RH2M,T2M,WD10M,WS10M,WS2M,WSC
2010,APR,6.8,42.48,0.69,1.84,93.69,76.77,40.47,31.22,245.7,3.92,2.75,4.61
2010,AUG,3.88,89.74,0.68,15.64,93.24,76.03,89.76,24.22,227.1,3.32,2.26,4.08
2010,DEC,4.05,45.51,0.66,1.95,93.92,76.19,78.32,16.9,59.7,2.72,1.67,3.39
2010,FEB,5.45,40.34,0.67,0.16,94.11,76.68,43.42,23.17,46.1,2.76,1.73,3.51
2010,JAN,4.53,37.63,0.65,0.53,94.3,76.59,57.2,18.64,62.0,2.51,1.46,3.3
2010,JUL,3.14,94.7,0.67,15.05,93.14,75.97,89.42,24.57,245.7,3.89,2.73,4.56
2010,JUN,4.92,85.26,0.66,9.14,93.23,76.17,75.66,27.09,243.5,4.14,2.93,4.86
2010,MAR,5.54,52.29,0.64,0.37,93.91,76.84,33.0,29.21,278.3,2.86,1.93,3.43
2010,MAY,6.1,60.3,0.68,3.31,93.28,76.39,53.95,30.52,227.5,4.15,2.92,4.89
2010,NOV,4.1,57.89,0.65,3.19,93.97,76.48,87.85,21.51,84.4,2.67,1.66,3.5
2010,OCT,4.05,79.06,0.65,7.28,93.58,76.22,88.48,22.72,51.2,2.89,1.84,3.73
2010,SEP,4.0,83.54,0.66,11.22,93.39,76.14,90.47,23.99,265.1,2.86,1.9,3.55
2011,ANN,4.91,55.18,0.66,3.43,93.66,76.32,69.98,23.26,254.5,3.02,1.97,3.75
2011,APR,6.19,47.01,0.68,2.46,93.72,76.64,50.12,28.34,224.6,2.37,1.62,2.87
2011,AUG,3.55,96.61,0.66,10.48,93.16,75.97,88.85,24.3,233.8,3.65,2.52,4.41
2011,DEC,4.18,38.26,0.63,0.51,94.12,76.41,64.13,18.09,68.4,2.97,1.71,4.05
2011,FEB,5.37,33.44,0.67,0.58,94.03,76.47,60.55,20.37,70.6,2.34,1.47,2.89
